iter	Passed	Remaining
0	145	145337
1	151	75638
2	157	52263
3	163	40612
4	169	33632
5	175	29010
6	180	25667
7	187	23253
8	193	21313
9	199	19761
10	204	18424
11	210	17368
12	216	16453
13	222	15651
14	227	14927
15	233	14347
16	239	13839
17	244	13347
18	250	12926
19	256	12551
20	261	12184
21	267	11879
22	273	11598
23	278	11322
24	283	11069
25	289	10837
26	294	10627
27	300	10433
28	306	10255
29	312	10097
30	317	9933
31	323	9792
32	330	9670
33	336	9573
34	342	9443
35	348	9328
36	354	9216
37	359	9111
38	365	9008
39	371	8916
40	377	8823
41	382	8728
42	388	8648
43	394	8566
44	399	8475
45	404	8396
46	410	8330
47	416	8263
48	421	8189
49	427	8128
50	433	8070
51	439	8006
52	445	7952
53	450	7891
54	455	7831
55	461	7781
56	467	7729
57	481	7820
58	489	7808
59	495	7769
60	501	7726
61	508	7698
62	514	7652
63	519	7603
64	526	7568
65	531	7524
66	537	7481
67	542	7438
68	548	7396
69	554	7361
70	560	7329
71	566	7302
72	572	7270
73	578	7234
74	584	7204
75	589	7172
76	596	7145
77	601	7109
78	607	7081
79	613	7049
80	618	7020
81	624	6989
82	629	6958
83	635	6925
84	640	6897
85	646	6872
86	651	6841
87	657	6812
88	663	6791
89	668	6762
90	673	6732
91	680	6713
92	685	6686
93	690	6656
94	695	6629
95	701	6604
96	706	6575
97	711	6552
98	717	6529
99	722	6502
100	728	6480
101	733	6454
102	738	6430
103	743	6406
104	748	6378
105	753	6358
106	759	6339
107	764	6314
108	769	6294
109	775	6273
110	780	6250
111	785	6228
112	790	6207
113	796	6186
114	801	6168
115	807	6151
116	812	6132
117	818	6116
118	823	6100
119	829	6080
120	834	6062
121	839	6044
122	844	6022
123	849	6004
124	854	5983
125	860	5968
126	865	5950
127	870	5929
128	876	5915
129	881	5901
130	886	5883
131	892	5867
132	898	5857
133	903	5838
134	908	5823
135	914	5811
136	920	5796
137	925	5781
138	932	5777
139	938	5764
140	943	5746
141	949	5734
142	954	5720
143	959	5702
144	964	5687
145	969	5668
146	974	5655
147	979	5641
148	984	5624
149	989	5609
150	995	5597
151	1000	5580
152	1005	5568
153	1010	5553
154	1016	5540
155	1021	5528
156	1028	5520
157	1033	5508
158	1038	5494
159	1044	5482
160	1049	5467
161	1055	5459
162	1060	5446
163	1065	5433
164	1071	5424
165	1078	5419
166	1085	5413
167	1090	5402
168	1097	5396
169	1104	5391
170	1110	5382
171	1116	5373
172	1123	5370
173	1129	5359
174	1134	5348
175	1140	5338
176	1145	5327
177	1151	5318
178	1157	5307
179	1163	5298
180	1169	5293
181	1175	5285
182	1181	5276
183	1187	5266
184	1194	5261
185	1199	5250
186	1204	5238
187	1210	5228
188	1216	5218
189	1221	5205
190	1226	5196
191	1232	5187
192	1237	5174
193	1243	5165
194	1248	5153
195	1253	5141
196	1258	5131
197	1264	5122
198	1269	5110
199	1275	5100
200	1281	5092
201	1286	5080
202	1291	5071
203	1296	5060
204	1301	5048
205	1307	5040
206	1313	5030
207	1318	5019
208	1323	5009
209	1329	5000
210	1334	4988
211	1339	4980
212	1345	4970
213	1350	4960
214	1355	4948
215	1360	4936
216	1365	4927
217	1370	4917
218	1376	4907
219	1381	4897
220	1386	4888
221	1392	4881
222	1399	4875
223	1404	4865
224	1410	4856
225	1415	4848
226	1421	4840
227	1427	4834
228	1433	4826
229	1440	4821
230	1446	4815
231	1451	4805
232	1456	4795
233	1462	4787
234	1467	4776
235	1472	4767
236	1477	4758
237	1482	4747
238	1488	4738
239	1493	4729
240	1498	4718
241	1503	4710
242	1508	4699
243	1513	4690
244	1519	4682
245	1524	4672
246	1530	4665
247	1535	4657
248	1540	4646
249	1545	4637
250	1551	4628
251	1555	4618
252	1562	4613
253	1568	4606
254	1573	4596
255	1578	4587
256	1583	4579
257	1589	4569
258	1594	4561
259	1599	4553
260	1605	4546
261	1611	4539
262	1617	4532
263	1623	4527
264	1629	4519
265	1635	4511
